         -25 ( -3.9098553784991743E-004, -0.0000000000000000     )
         -24 (  2.8738227416819015E-006,  0.0000000000000000     )
         -23 (  6.3408262320073289E-004,  0.0000000000000000     )
         -22 (  2.5818446863705626E-006,  0.0000000000000000     )
         -21 ( -1.0587543627272834E-003, -0.0000000000000000     )
         -20 (  2.5552692819258978E-006,  0.0000000000000000     )
         -19 (  1.7688581102987091E-003,  0.0000000000000000     )
         -18 (  1.1358942470423209E-006,  0.0000000000000000     )
         -17 ( -3.0076554547061431E-003, -0.0000000000000000     )
         -16 (  2.3944732669150153E-006,  0.0000000000000000     )
         -15 (  5.1708255999704808E-003,  0.0000000000000000     )
         -14 (  1.0486813886742201E-006,  0.0000000000000000     )
         -13 ( -9.0424931468514828E-003, -0.0000000000000000     )
         -12 ( -6.5665656418374567E-007, -0.0000000000000000     )
         -11 (  1.6104493267070516E-002,  0.0000000000000000     )
         -10 (  4.3929569668238708E-007,  0.0000000000000000     )
          -9 ( -2.9328681212887606E-002, -0.0000000000000000     )
          -8 (  5.1012977731232954E-007,  0.0000000000000000     )
          -7 (  5.5011391952792157E-002,  0.0000000000000000     )
          -6 (  3.4597018621786671E-006,  0.0000000000000000     )
          -5 (-0.10821211889892872     , -0.0000000000000000     )
          -4 (  6.3394612156925126E-006,  0.0000000000000000     )
          -3 ( 0.23726749869577932     ,  0.0000000000000000     )
          -2 (  1.4752343796038076E-005,  0.0000000000000000     )
          -1 (-0.83857570107244184     , -0.0000000000000000     )
           0 ( -1.3496372058209574     ,  0.0000000000000000     )
           1 (-0.83857570107244184     ,  0.0000000000000000     )
           2 (  1.4752343796038076E-005,  0.0000000000000000     )
           3 ( 0.23726749869577932     ,  0.0000000000000000     )
           4 (  6.3394612156925126E-006,  0.0000000000000000     )
           5 (-0.10821211889892872     ,  0.0000000000000000     )
           6 (  3.4597018621786671E-006,  0.0000000000000000     )
           7 (  5.5011391952792157E-002,  0.0000000000000000     )
           8 (  5.1012977731232954E-007,  0.0000000000000000     )
           9 ( -2.9328681212887606E-002,  0.0000000000000000     )
          10 (  4.3929569668238708E-007,  0.0000000000000000     )
          11 (  1.6104493267070516E-002,  0.0000000000000000     )
          12 ( -6.5665656418374567E-007,  0.0000000000000000     )
          13 ( -9.0424931468514828E-003,  0.0000000000000000     )
          14 (  1.0486813886742201E-006,  0.0000000000000000     )
          15 (  5.1708255999704808E-003,  0.0000000000000000     )
          16 (  2.3944732669150153E-006,  0.0000000000000000     )
          17 ( -3.0076554547061431E-003,  0.0000000000000000     )
          18 (  1.1358942470423209E-006,  0.0000000000000000     )
          19 (  1.7688581102987091E-003,  0.0000000000000000     )
          20 (  2.5552692819258978E-006,  0.0000000000000000     )
          21 ( -1.0587543627272834E-003,  0.0000000000000000     )
          22 (  2.5818446863705626E-006,  0.0000000000000000     )
          23 (  6.3408262320073289E-004,  0.0000000000000000     )
          24 (  2.8738227416819015E-006,  0.0000000000000000     )
          25 ( -3.9098553784991743E-004,  0.0000000000000000     )
